Rank,CPI2015,Country,Region,wbcode,World Economic Forum EOS,Bertelsmann Foundation TI,African Dev Bank,IMD World Competitiveness Yearbook,Bertelsmann Foundation SGI,World Justice Project ROL,PRS International Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT,Number of Sources,Std Deviation of Sources,Standard Error,Minimum,Maximum,Lower CI,Upper CI,CPI 2015,GDP per capita
99,34,Bolivia,AME,BOL,25.0,36.0,,,,20.0,31.0,38.0,42.0,,,7,9.48,3.58,20,47,28,40,34,3076.79
99,34,Djibouti,SSA,DJI,,,27.0,,,,,,52.0,,,3,15.72,9.08,23,52,19,49,34,1945.12
99,34,Gabon,SSA,GAB,36.0,,,,,,31.0,38.0,32.0,,,4,3.3,1.65,31,38,31,37,34,8266.45
99,34,Niger,SSA,NER,,36.0,47.0,,,,21.0,,32.0,,,5,9.31,4.16,21,47,27,41,34,358.96
103,33,Dominican Republic,AME,DOM,29.0,32.0,,,,24.0,31.0,38.0,42.0,,,6,6.44,2.63,24,42,29,37,33,6468.47
103,33,Ethiopia,SSA,ETH,42.0,23.0,42.0,,,32.0,31.0,38.0,22.0,,,8,7.72,2.73,22,42,28,38,33,619.17
103,33,Kosovo,ECA,LWI,,36.0,,,,,,,,,29.0,3,3.79,2.19,29,36,29,37,33,3561.57
103,33,Moldova,ECA,MDA,30.0,40.0,,,,16.0,31.0,38.0,42.0,,31.0,8,8.15,2.88,16,42,28,38,33,1848.06
107,32,Argentina,AME,ARG,28.0,36.0,,25.0,,37.0,31.0,38.0,32.0,,,7,4.86,1.84,25,38,29,35,32,13467.42
107,32,Belarus,ECA,BLR,,28.0,,,,52.0,31.0,21.0,32.0,,26.0,6,10.71,4.37,21,52,25,39,32,5740.46
107,32,Ecuador,AME,ECU,43.0,32.0,,,,30.0,31.0,21.0,32.0,,,6,7.01,2.86,21,43,27,37,32,6205.06
107,32,Togo,SSA,TGO,,32.0,30.0,,,,31.0,,42.0,,,5,6.8,3.04,23,42,27,37,32,559.64
112,31,Honduras,AME,HND,45.0,36.0,,,,17.0,41.0,21.0,22.0,,,7,10.91,4.12,17,45,24,38,31,2528.89
112,31,Malawi,SSA,MWI,32.0,36.0,42.0,,,27.0,31.0,21.0,32.0,,,8,6.82,2.41,21,42,27,35,31,371.99
112,31,Mozambique,SSA,MOZ,28.0,28.0,22.0,,,,31.0,38.0,32.0,,,7,5.22,1.97,22,38,28,34,31,529.24
112,31,Vietnam,AP,VNM,37.0,28.0,,,,36.0,41.0,21.0,22.0,31.0,,8,7.23,2.56,21,41,27,35,31,2111.14
117,30,Pakistan,AP,PAK,34.0,19.0,,,,26.0,31.0,38.0,42.0,,,7,8.26,3.12,19,42,25,35,30,1434.7
117,30,Tanzania,SSA,TZA,31.0,32.0,42.0,,,21.0,31.0,38.0,11.0,,,8,9.86,3.49,11,42,24,36,30,853.34
119,29,Azerbaijan,ECA,AZE,37.0,23.0,,,,,21.0,38.0,32.0,,21.0,6,7.97,3.25,21,38,24,34,29,5496.34
119,29,Guyana,AME,GUY,29.0,,,,,,21.0,,32.0,,,4,6.02,3.01,21,35,24,34,29,4127.35
119,29,Sierra Leone,SSA,SLE,20.0,40.0,40.0,,,14.0,31.0,21.0,32.0,,,8,9.72,3.44,14,40,23,35,29,653.13
123,28,Gambia,SSA,GMB,49.0,,15.0,,,,31.0,,32.0,,,5,14.92,6.67,12,49,17,39,28,471.54
123,28,Guatemala,AME,GTM,38.0,32.0,,,,15.0,31.0,21.0,32.0,,,6,8.47,3.46,15,38,22,34,28,3903.48
123,28,Kazakhstan,ECA,KAZ,51.0,19.0,,46.0,,28.0,21.0,21.0,11.0,,23.0,8,13.86,4.9,11,51,20,36,28,10509.98
123,28,Lebanon,MENA,LBN,35.0,19.0,,,,24.0,21.0,38.0,32.0,,,6,7.88,3.22,19,38,23,33,28,8047.65
123,28,Madagascar,SSA,MDG,29.0,32.0,20.0,,,20.0,31.0,,42.0,,,7,7.9,2.99,20,42,23,33,28,401.84
123,28,Timor-Leste,AP,TLS,38.0,,,,,,,,22.0,,,3,8.96,5.17,22,38,19,37,28,1157.99
130,27,Cameroon,SSA,CMR,30.0,28.0,45.0,,,14.0,31.0,21.0,22.0,,,8,9.22,3.26,14,45,22,32,27,1217.26
130,27,Nepal,AP,NPL,33.0,23.0,,,,24.0,,,22.0,,,5,6.11,2.73,22,35,22,32,27,743.32
130,27,Nicaragua,AME,NIC,33.0,28.0,,,,19.0,21.0,21.0,32.0,,,7,6.61,2.5,19,35,23,31,27,2086.9
130,27,Paraguay,AME,PRY,25.0,36.0,,,,,31.0,21.0,22.0,,,5,6.36,2.84,21,36,22,32,27,4080.95
130,27,Ukraine,ECA,UKR,28.0,36.0,,26.0,,22.0,21.0,21.0,32.0,,29.0,8,5.46,1.93,21,36,24,30,27,2004.84
136,26,Comoros,SSA,COM,,,12.0,,,,,,42.0,,,3,15.18,8.76,12,42,12,40,26,717.45
136,26,Nigeria,SSA,NGA,25.0,28.0,35.0,,,19.0,21.0,21.0,22.0,,,8,6.34,2.24,19,35,22,30,26,2671.72
136,26,Tajikistan,ECA,TJK,53.0,15.0,,,,,,,11.0,,26.0,5,16.46,7.36,11,53,14,38,26,925.91
139,25,Bangladesh,AP,BGD,19.0,23.0,,,,16.0,50.0,21.0,22.0,,,7,11.36,4.29,16,50,18,32,25,1211.7
139,25,Guinea,SSA,GIN,15.0,36.0,32.0,,,,21.0,,22.0,,,6,7.73,3.16,15,36,20,30,25,531.32
139,25,Kenya,SSA,KEN,30.0,28.0,35.0,,,18.0,21.0,21.0,11.0,,,8,8.54,3.02,11,35,20,30,25,1376.71
139,25,Uganda,SSA,UGA,28.0,32.0,32.0,,,15.0,21.0,38.0,22.0,,,8,9.02,3.19,12,38,20,30,25,705.29
145,24,Central African Republic,SSA,CAF,,28.0,22.0,,,,,,22.0,,,4,2.87,1.44,22,28,22,26,24,323.2
146,23,Congo Republic,SSA,COG,,19.0,42.0,,,,21.0,21.0,22.0,,,6,10.07,4.11,12,42,16,30,23,1851.2
147,22,Chad,SSA,TCD,16.0,19.0,30.0,,,,,,22.0,,,5,5.24,2.34,16,30,18,26,22,775.7
147,22,Myanmar,AP,MMR,27.0,19.0,,,,19.0,21.0,21.0,11.0,,,7,7.47,2.82,11,35,17,27,22,1161.49
150,21,Burundi,SSA,BDI,28.0,19.0,25.0,,,,,,11.0,,,5,6.57,2.94,11,28,16,26,21,277.07
150,21,Cambodia,AP,KHM,35.0,15.0,,,,10.0,,21.0,22.0,35.0,,7,10.24,3.87,10,35,15,27,21,1158.69
150,21,Zimbabwe,SSA,ZWE,38.0,15.0,17.0,,,23.0,12.0,38.0,22.0,,,8,12.85,4.54,0,38,14,28,21,924.14
153,19,Uzbekistan,ECA,UZB,,19.0,,,,29.0,,21.0,11.0,,21.0,6,6.65,2.71,11,29,15,23,19,2132.07
154,18,Turkmenistan,ECA,TKM,,19.0,,,,,,21.0,11.0,,21.0,4,4.76,2.38,11,21,14,22,18,6672.48
154,18,Yemen,MENA,YEM,14.0,28.0,,,,,12.0,21.0,22.0,,,6,6.52,2.66,12,28,14,22,18,1406.29
158,17,Haiti,AME,HTI,24.0,15.0,,,,,12.0,,11.0,,,5,6.12,2.74,11,24,12,22,17,818.34
158,17,Guinea-Bissau,SSA,GNB,,,20.0,,,,12.0,,22.0,,,4,5.26,2.63,12,22,13,21,17,572.99
161,16,Iraq,MENA,IRQ,,19.0,,,,,12.0,21.0,11.0,,,4,4.99,2.5,11,21,12,20,16,4943.76
163,15,Angola,SSA,AGO,17.0,15.0,,,,,12.0,21.0,11.0,,,5,4.02,1.8,11,21,12,18,15,4101.47
163,15,South Sudan,SSA,,,15.0,17.0,,,,,,,,,3,2.52,1.45,12,17,13,17,15,730.58
165,12,Sudan,MENA,SDN,,15.0,20.0,,,,2.0,21.0,11.0,,,6,8.92,3.64,0,21,6,18,12,2414.72
166,11,Afghanistan,AP,AFG,,19.0,,,,2.0,,,11.0,,,4,6.98,3.49,2,19,5,17,11,594.32
167,8,Somalia,SSA,SOM,,6.0,2.0,,,,12.0,,11.0,,,4,4.65,2.33,2,12,4,12,8,549.27
